Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A688716,Jorgo,09/22/2014 05:25:00 PM,09/22/2014 05:25:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,11 months,Chihuahua Shorthair Mix,Tan,Jorgo,09/24/2014 06:09:00 PM,09/24/2014 06:09:00 PM,10/22/2013,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Tan,0.0
A734071,*Simone,08/31/2016 10:11:00 PM,08/31/2016 10:11:00 PM,8312 N Ih 35 Hwy in Austin (TX),Public Assist,Normal,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Black,*Simone,11/28/2016 06:18:00 PM,11/28/2016 06:18:00 PM,08/31/2014,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Black,0.0
A665300,,10/16/2013 10:45:00 AM,10/16/2013 10:45:00 AM,6001 Perlita Dr in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Blue,,10/16/2013 11:50:00 AM,10/16/2013 11:50:00 AM,10/01/2013,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Blue,0.0
A702519,Brownie,05/14/2015 06:53:00 PM,05/14/2015 06:53:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,2 months,Pit Bull Mix,Brown/White,Brownie,05/14/2015 07:26:00 PM,05/14/2015 07:26:00 PM,02/14/2015,Dog,Neutered Male,2 months,Pit Bull Mix,Brown/White,0.0
A695255,Kendra,04/13/2015 11:40:00 AM,04/13/2015 11:40:00 AM,Ploverville And Bescott in Austin (TX),Stray,Normal,Dog,Spayed Female,9 months,German Shepherd,Brown/Black,Kendra,04/13/2015 02:23:00 PM,04/13/2015 02:23:00 PM,07/12/2014,Dog,Spayed Female,9 months,German Shepherd,Brown/Black,0.0
A735221,Flor,09/21/2016 09:40:00 AM,09/21/2016 09:40:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,8 months,German Shepherd Mix,Tan/Black,Flor,09/26/2016 06:17:00 PM,09/26/2016 06:17:00 PM,01/21/2016,Dog,Spayed Female,8 months,German Shepherd Mix,Tan/Black,0.0
A731032,Gabby,12/29/2016 01:14:00 PM,12/29/2016 01:14:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White,Gabby,10/01/2016 06:46:00 PM,10/01/2016 06:46:00 PM,11/15/2015,Dog,Spayed Female,10 months,Pit Bull Mix,Blue/White,0.0
A743716,,02/15/2017 12:18:00 PM,02/15/2017 12:18:00 PM,100 Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pomeranian/Chihuahua Longhair,Red/Tan,,02/19/2017 04:35:00 PM,02/19/2017 04:35:00 PM,02/15/2016,Dog,Neutered Male,1 year,Pomeranian/Chihuahua Longhair,Red/Tan,0.0
A670269,Levi,01/04/2014 03:36:00 PM,01/04/2014 03:36:00 PM,W Anderson in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Siberian Husky,Tan/White,Levi,01/09/2014 06:20:00 PM,01/09/2014 06:20:00 PM,10/25/2013,Dog,Neutered Male,2 months,Labrador Retriever/Siberian Husky,Tan/White,0.0
A718000,Jack,12/19/2015 11:53:00 AM,12/19/2015 11:53:00 AM,2536 Lavendale Ct in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,Jack,08/07/2016 03:50:00 PM,08/07/2016 03:50:00 PM,11/04/2015,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Brown Tabby,0.0
A711760,Jupiter,09/11/2015 07:36:00 PM,09/11/2015 07:36:00 PM,14815 Johnson Road Trl in Travis (TX),Stray,Normal,Dog,Intact Male,9 months,Australian Cattle Dog Mix,White/Black,Jupiter,09/15/2015 07:17:00 PM,09/15/2015 07:17:00 PM,11/12/2014,Dog,Neutered Male,10 months,Australian Cattle Dog Mix,White/Black,0.0
A808830,,11/14/2019 12:03:00 PM,11/14/2019 12:03:00 PM,715 East 8Th Street in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Dachshund,Brown,,11/16/2019 02:27:00 PM,11/16/2019 02:27:00 PM,11/14/2017,Dog,Intact Female,2 years,Dachshund,Brown,0.0
A740400,*Gigi,12/16/2016 03:53:00 PM,12/16/2016 03:53:00 PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Tan,*Gigi,12/17/2016 04:26:00 PM,12/17/2016 04:26:00 PM,12/16/2015,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Tan,0.0
A801158,Harper,07/31/2019 04:58:00 PM,07/31/2019 04:58:00 PM,Imperial Drive And Kings Court in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Belgian Malinois Mix,Black/Brown,Harper,08/05/2019 07:00:00 PM,08/05/2019 07:00:00 PM,05/31/2019,Dog,Intact Female,2 months,Belgian Malinois Mix,Black/Brown,0.0
A664379,Miley,10/02/2013 05:32:00 PM,10/02/2013 05:32:00 PM,Arthur Stiles in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Border Terrier Mix,Brown/White,Miley,10/05/2013 05:40:00 PM,10/05/2013 05:40:00 PM,10/02/2012,Dog,Spayed Female,1 year,Border Terrier Mix,Brown/White,0.0
A609641,Lilly,03/15/2015 11:10:00 AM,03/15/2015 11:10:00 AM,2209 Kinney in Austin (TX),Public Assist,Normal,Dog,Spayed Female,7 years,Rottweiler Mix,Black,Lilly,03/23/2015 06:04:00 PM,03/23/2015 06:04:00 PM,09/11/2007,Dog,Spayed Female,7 years,Rottweiler Mix,Black,0.0
A763436,Rose,12/28/2019 11:37:00 AM,12/28/2019 11:37:00 AM,15305 Knighten Lane in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Shih Tzu Mix,Black/White,Rose,12/29/2019 05:04:00 PM,12/29/2019 05:04:00 PM,12/09/2014,Dog,Intact Female,5 years,Shih Tzu Mix,Black/White,0.0
A683218,X,07/09/2014 12:58:00 PM,07/09/2014 12:58:00 PM,14811 Chicadee in Pflugerville (TX),Public Assist,Normal,Cat,Intact Male,5 years,Domestic Shorthair Mix,Brown Tabby/White,X,07/21/2014 11:02:00 AM,07/21/2014 11:02:00 AM,07/09/2009,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White,0.0
A754263,Princess,08/14/2017 03:53:00 PM,08/14/2017 03:53:00 PM,2112 E William Cannon Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Siberian Husky/American Pit Bull Terrier,Blue/White,Princess,08/18/2017 12:22:00 PM,08/18/2017 12:22:00 PM,07/18/2014,Dog,Spayed Female,3 years,Siberian Husky/American Pit Bull Terrier,Blue/White,0.0
A676650,Saddie,04/13/2014 11:35:00 AM,04/13/2014 11:35:00 AM,Haskell St in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Pointer Mix,Tan/White,Saddie,04/17/2014 06:44:00 PM,04/17/2014 06:44:00 PM,10/13/2013,Dog,Spayed Female,6 months,Pointer Mix,Tan/White,0.0
A721373,Munster,02/25/2016 04:05:00 PM,02/25/2016 04:05:00 PM,10611 Ponder Lane in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Rat Terrier Mix,Tricolor,Munster,02/29/2016 06:33:00 PM,02/29/2016 06:33:00 PM,09/10/2015,Dog,Neutered Male,5 months,Rat Terrier Mix,Tricolor,0.0
A778653,Apollonia,12/30/2018 04:18:00 PM,12/30/2018 04:18:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White,Apollonia,12/24/2018 02:05:00 PM,12/24/2018 02:05:00 PM,08/18/2012,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White,0.0
A793897,Babu,05/01/2019 02:34:00 PM,05/01/2019 02:34:00 PM,12820 North Lamar in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Black/White,Babu,06/18/2019 05:46:00 PM,06/18/2019 05:46:00 PM,04/01/2019,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Black/White,0.0
A791697,,03/30/2019 12:21:00 PM,03/30/2019 12:21:00 PM,110 Delmar in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever/German Shepherd,Brown/White,,04/03/2019 04:25:00 PM,04/03/2019 04:25:00 PM,02/09/2019,Dog,Spayed Female,1 month,Labrador Retriever/German Shepherd,Brown/White,0.0
A719331,,01/17/2016 03:15:00 PM,01/17/2016 03:15:00 PM,15700 Anderson Mill Rd in Travis (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,,01/22/2016 07:09:00 PM,01/22/2016 07:09:00 PM,01/17/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,0.0
A671872,Hera,01/31/2014 03:17:00 PM,01/31/2014 03:17:00 PM,5207 Brodie Lane in Sunset Valley (TX),Stray,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Black/White,Hera,05/09/2014 04:39:00 PM,05/09/2014 04:39:00 PM,01/31/2008,Dog,Spayed Female,6 years,Pit Bull Mix,Black/White,0.0
A672336,,02/08/2014 12:37:00 PM,02/08/2014 12:37:00 PM,Cameron And Cloverleaf in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,,02/10/2014 02:30:00 PM,02/10/2014 02:30:00 PM,02/08/2012,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,0.0
A675310,,03/26/2014 11:15:00 AM,03/26/2014 11:15:00 AM,5338 Thunder Creek Rd in Austin (TX),Stray,Nursing,Cat,Intact Female,2 days,Domestic Shorthair Mix,Blue/White,,03/26/2014 01:24:00 PM,03/26/2014 01:24:00 PM,03/24/2014,Cat,Intact Female,2 days,Domestic Shorthair Mix,Blue/White,0.0
A708468,*Pio,07/28/2015 11:19:00 AM,07/28/2015 11:19:00 AM,N Lamar Blvd & W 51St St in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Pointer Mix,White/Black,*Pio,08/29/2015 03:07:00 PM,08/29/2015 03:07:00 PM,01/28/2015,Dog,Neutered Male,7 months,Pointer Mix,White/Black,0.0
A670405,Best Friend,01/07/2014 04:05:00 PM,01/07/2014 04:05:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Brown/White,Best Friend,01/19/2014 12:51:00 PM,01/19/2014 12:51:00 PM,01/07/2011,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Brown/White,0.0
A729933,Momo,06/25/2016 04:21:00 PM,06/25/2016 04:21:00 PM,12113 Metric Blvd in Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico,Momo,06/26/2016 11:07:00 AM,06/26/2016 11:07:00 AM,06/25/2009,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico,0.0
A734608,Penny,09/09/2016 04:16:00 PM,09/09/2016 04:16:00 PM,10702 Daryl in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Brown/White,Penny,09/15/2016 05:43:00 PM,09/15/2016 05:43:00 PM,07/02/2015,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White,0.0
A710255,,08/20/2015 12:45:00 PM,08/20/2015 12:45:00 PM,7301 Rhett Ln in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown,,08/21/2015 09:50:00 AM,08/21/2015 09:50:00 AM,08/20/2013,Other,Unknown,2 years,Bat Mix,Brown,1.0
A798823,,07/01/2019 10:52:00 AM,07/01/2019 10:52:00 AM,1904 Quanah Parker Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Tortie,,08/16/2019 06:42:00 PM,08/16/2019 06:42:00 PM,05/07/2019,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie,0.0
A744522,*Ginger,03/02/2017 01:14:00 PM,03/02/2017 01:14:00 PM,10761 Maha Cir in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Basset Hound/Chinese Sharpei,Tan,*Ginger,03/24/2017 12:03:00 PM,03/24/2017 12:03:00 PM,12/18/2016,Dog,Intact Female,3 months,Basset Hound/Chinese Sharpei,Tan,0.0
A742993,,02/01/2017 12:35:00 PM,02/01/2017 12:35:00 PM,701 Village Green Dr in Austin (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby/White,,02/02/2017 09:00:00 AM,02/02/2017 09:00:00 AM,08/01/2016,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A708535,,07/29/2015 11:40:00 AM,07/29/2015 11:40:00 AM,20602 Ed Acklin in Travis (TX),Stray,Nursing,Dog,Intact Female,3 weeks,Pit Bull Mix,White/Brown,,07/31/2015 02:17:00 PM,07/31/2015 02:17:00 PM,07/07/2015,Dog,Intact Female,3 weeks,Pit Bull Mix,White/Brown,0.0
A797174,,06/10/2019 01:48:00 PM,06/10/2019 01:48:00 PM,1308 Southport Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Australian Cattle Dog,Black/White,,06/16/2019 07:16:00 PM,06/16/2019 07:16:00 PM,03/26/2019,Dog,Spayed Female,2 months,Australian Cattle Dog,Black/White,0.0
A721364,Harley,02/25/2016 02:23:00 PM,02/25/2016 02:23:00 PM,Riverside And South Congress Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Boxer Mix,Black/White,Harley,02/25/2016 03:22:00 PM,02/25/2016 03:22:00 PM,02/25/2015,Dog,Neutered Male,1 year,Boxer Mix,Black/White,0.0
A695841,,01/24/2015 11:24:00 AM,01/24/2015 11:24:00 AM,1503 Haskell in Austin (TX),Stray,Normal,Other,Unknown,2 years,Raccoon Mix,Black/Gray,,01/25/2015 09:37:00 AM,01/25/2015 09:37:00 AM,01/24/2013,Other,Unknown,2 years,Raccoon Mix,Black/Gray,1.0
A764809,Franco,01/06/2018 04:27:00 PM,01/06/2018 04:27:00 PM,7000 Cooper Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Shih Tzu Mix,Tan/Black,Franco,01/07/2018 11:38:00 AM,01/07/2018 11:38:00 AM,01/06/2016,Dog,Intact Male,2 years,Shih Tzu Mix,Tan/Black,0.0
A766421,Chia,02/08/2018 04:15:00 PM,02/08/2018 04:15:00 PM,Apple Orchard Lane And Peach Grove Road in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Miniature Pinscher Mix,Tan/White,Chia,02/08/2018 04:28:00 PM,02/08/2018 04:28:00 PM,02/08/2013,Dog,Spayed Female,5 years,Miniature Pinscher Mix,Tan/White,0.0
A781458,*Chipper,12/09/2018 01:58:00 PM,12/09/2018 01:58:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Tan,*Chipper,12/29/2018 01:08:00 PM,12/29/2018 01:08:00 PM,09/29/2017,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Tan,0.0
A787831,Lucy,01/20/2019 05:28:00 PM,01/20/2019 05:28:00 PM,3705 Peach Vista Drive in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,4 years,Yorkshire Terrier/Miniature Poodle,Tan/Black,Lucy,01/21/2019 11:19:00 AM,01/21/2019 11:19:00 AM,02/21/2014,Dog,Spayed Female,4 years,Yorkshire Terrier/Miniature Poodle,Tan/Black,0.0
A718701,Sophia,01/05/2016 02:55:00 PM,01/05/2016 02:55:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,10 years,German Shepherd Mix,Black/Tan,Sophia,06/10/2016 03:48:00 PM,06/10/2016 03:48:00 PM,01/05/2006,Dog,Spayed Female,10 years,German Shepherd Mix,Black/Tan,0.0
A685305,*Bevo,08/05/2014 01:47:00 PM,08/05/2014 01:47:00 PM,2809 E 3Rd in Austin (TX),Stray,Injured,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,*Bevo,08/28/2014 05:26:00 PM,08/28/2014 05:26:00 PM,05/11/2014,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A685140,,08/03/2014 11:26:00 AM,08/03/2014 11:26:00 AM,1111 Bluebonnet in Austin (TX),Stray,Normal,Cat,Unknown,3 months,Russian Blue Mix,Blue,,08/04/2014 09:00:00 AM,08/04/2014 09:00:00 AM,05/03/2014,Cat,Unknown,3 months,Russian Blue Mix,Blue,0.0
A757327,058,09/01/2017 03:18:00 PM,09/01/2017 03:18:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black,058,10/03/2017 01:30:00 PM,10/03/2017 01:30:00 PM,09/01/2016,Dog,Intact Male,1 year,Labrador Retriever Mix,Black,0.0
A804764,,09/18/2019 04:57:00 PM,09/18/2019 04:57:00 PM,Austin (TX),Owner Surrender,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Tortie,,09/21/2019 04:53:00 PM,09/21/2019 04:53:00 PM,08/26/2019,Cat,Intact Female,3 weeks,Domestic Shorthair,Tortie,0.0
A732109,Boomer,08/02/2016 01:36:00 PM,08/02/2016 01:36:00 PM,5010 Goodwood in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Mastiff Mix,Brown/Tan,Boomer,08/02/2016 04:49:00 PM,08/02/2016 04:49:00 PM,08/02/2014,Dog,Intact Male,2 years,Mastiff Mix,Brown/Tan,0.0
A691727,Ruby Grace,11/08/2014 01:39:00 PM,11/08/2014 01:39:00 PM,Cunningham Elementary School in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Cairn Terrier,Black/Cream,Ruby Grace,11/12/2014 06:05:00 PM,11/12/2014 06:05:00 PM,08/08/2014,Dog,Spayed Female,3 months,Cairn Terrier,Black/Cream,0.0
A767730,*Rosita,03/06/2018 05:52:00 PM,03/06/2018 05:52:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,3 days,Jack Russell Terrier Mix,White/Tan,*Rosita,04/28/2018 01:38:00 PM,04/28/2018 01:38:00 PM,03/03/2018,Dog,Spayed Female,1 month,Jack Russell Terrier Mix,White/Tan,0.0
A759203,Diva,09/28/2017 05:16:00 PM,09/28/2017 05:16:00 PM,10721 Research Blvd in Austin (TX),Stray,Injured,Dog,Spayed Female,13 years,Chihuahua Shorthair Mix,Brown,Diva,10/02/2017 04:24:00 PM,10/02/2017 04:24:00 PM,07/06/2004,Dog,Spayed Female,13 years,Chihuahua Shorthair Mix,Brown,0.0
A701108,*Milo,04/24/2015 11:30:00 AM,04/24/2015 11:30:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Labrador Retriever Mix,Black/White,*Milo,07/16/2015 10:26:00 AM,07/16/2015 10:26:00 AM,04/24/2007,Dog,Neutered Male,8 years,Labrador Retriever Mix,Black/White,0.0
A727172,*Tuna,05/19/2016 08:10:00 AM,05/19/2016 08:10:00 AM,4106 N Lamar in Austin (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Tuna,07/09/2016 08:06:00 AM,07/09/2016 08:06:00 AM,04/19/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A738618,,11/18/2016 01:25:00 PM,11/18/2016 01:25:00 PM,Del Valle (TX),Stray,Normal,Dog,Intact Female,6 months,Cairn Terrier Mix,White,,11/22/2016 04:51:00 PM,11/22/2016 04:51:00 PM,05/18/2016,Dog,Spayed Female,6 months,Cairn Terrier Mix,White,0.0
A740587,Bobby,12/19/2016 06:11:00 PM,12/19/2016 06:11:00 PM,1054 Springdale Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White,Bobby,12/26/2016 05:58:00 PM,12/26/2016 05:58:00 PM,12/19/2015,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White,0.0
A695590,Bella,01/18/2015 03:37:00 PM,01/18/2015 03:37:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Pit Bull Mix,Yellow Brindle/White,Bella,03/22/2015 06:09:00 PM,03/22/2015 06:09:00 PM,01/18/2008,Dog,Spayed Female,7 years,Pit Bull Mix,Yellow Brindle/White,0.0
A788372,Papito,02/01/2019 01:13:00 PM,02/01/2019 01:13:00 PM,917 Springdale in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black/White,Papito,02/05/2019 04:24:00 PM,02/05/2019 04:24:00 PM,02/01/2017,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,0.0
A776347,,07/12/2018 10:29:00 AM,07/12/2018 10:29:00 AM,502 West Longspur Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle/Maltese,White,,07/18/2018 03:33:00 PM,07/18/2018 03:33:00 PM,07/12/2016,Dog,Neutered Male,2 years,Miniature Poodle/Maltese,White,0.0
A788773,,02/08/2019 03:57:00 PM,02/08/2019 03:57:00 PM,Cottle Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Blue Merle/Black,,02/12/2019 05:39:00 PM,02/12/2019 05:39:00 PM,02/08/2017,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue Merle/Black,0.0
A679010,Chrissy,05/15/2014 12:10:00 PM,05/15/2014 12:10:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Angora Mix,White,Chrissy,05/17/2014 11:32:00 AM,05/17/2014 11:32:00 AM,05/15/2012,Cat,Intact Female,2 years,Angora Mix,White,0.0
A682976,*Jamie,07/05/2014 01:50:00 PM,07/05/2014 01:50:00 PM,1606 E 3Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tricolor,*Jamie,07/14/2014 03:21:00 PM,07/14/2014 03:21:00 PM,07/05/2013,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tricolor,0.0
A708065,*Mickey,07/22/2015 11:44:00 AM,07/22/2015 11:44:00 AM,1401 Manford Hill Dr in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Australian Kelpie Mix,Brown Brindle/White,*Mickey,10/14/2015 05:21:00 PM,10/14/2015 05:21:00 PM,09/22/2014,Dog,Neutered Male,1 year,Australian Kelpie Mix,Brown Brindle/White,0.0
A697461,Agatha,02/24/2015 12:26:00 PM,02/24/2015 12:26:00 PM,Lakeway (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Torbie,Agatha,04/04/2015 03:11:00 PM,04/04/2015 03:11:00 PM,02/24/2012,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie,0.0
A780610,,09/17/2018 01:29:00 PM,09/17/2018 01:29:00 PM,15436 Fm 1825 in Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle/Cocker Spaniel,White/Black,,09/21/2018 05:16:00 PM,09/21/2018 05:16:00 PM,09/17/2017,Dog,Neutered Male,1 year,Miniature Poodle/Cocker Spaniel,White/Black,0.0
